City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Dingle,PH,79.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
3,Kapaa,US,79.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Bluff,NZ,76.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
9,Alofi,NU,76.89,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
14,Rikitea,PF,78.35,broken clouds,-23.1203,-134.9692,People ThankYou
17,Iralaya,HN,75.49,clear sky,15.0,-83.2333,Iglesia morava renovada
18,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Bagotville,AU,86.02,overcast clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
25,Port Alfred,ZA,77.63,overcast clouds,-33.5906,26.891,The Halyards Hotel
32,Arraial Do Cabo,BR,76.19,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
39,Bang Mun Nak,TH,77.59,overcast clouds,16.0278,100.3792,NIDA Rooms Phichit 55 Bang Mun Nak
42,Tuatapere,NZ,76.82,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
43,Bentong,MY,79.65,scattered clouds,3.5181,101.9079,Tras Mutiara Hotel Bentong
46,Coro,VE,76.33,clear sky,11.4045,-69.6734,Federal
50,Tra Vinh,VN,81.28,scattered clouds,9.9347,106.3453,Hồng Ân
56,Bambous Virieux,MU,79.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
57,Mataura,NZ,78.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
60,Butaritari,KI,82.0,light rain,3.0707,172.7902,Isles Sunset Lodge
63,Vaini,TO,87.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
67,Wanlaweyn,SO,76.64,overcast clouds,2.6185,44.8938,GAASHAAN HOME
70,Christchurch,NZ,80.02,light rain,-43.5333,172.6333,The George
73,Hilo,US,76.73,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
74,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
82,Carnarvon,AU,84.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
87,Anloga,GH,79.36,clear sky,5.7947,0.8973,Pin Drop Hotel
88,Mahebourg,MU,79.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Hithadhoo,MV,82.38,clear sky,-0.6,73.0833,Scoop Guest House
104,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
106,Port Macquarie,AU,81.9,light rain,-31.4333,152.9167,Rydges Port Macquarie
108,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
121,Mackay,AU,93.69,overcast clouds,-21.15,149.2,International Lodge Motel
122,Saint-Pierre,RE,80.24,heavy intensity rain,-21.3393,55.4781,Lindsey Hôtel
132,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
134,Atuona,PF,78.87,few clouds,-9.8,-139.0333,Villa Enata
142,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
147,Baculin,PH,80.96,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
150,Puerto Rondon,CO,81.39,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
154,Charters Towers,AU,89.55,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
158,Bonthe,SL,76.96,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
168,Aden,YE,77.14,few clouds,12.7794,45.0367,Sama Emirate Hotel
172,Richards Bay,ZA,75.36,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
180,Luganville,VU,84.51,moderate rain,-15.5333,167.1667,The Espiritu Hotel
185,Sibolga,ID,76.35,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
192,Kudahuvadhoo,MV,82.65,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
193,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
194,Mercedes,AR,77.18,clear sky,-34.6515,-59.4307,Posada del Inti Centro
196,Faanui,PF,80.94,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
198,Manado,ID,84.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
201,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
206,Kalianget,ID,81.39,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
207,Coolum Beach,AU,91.22,overcast clouds,-26.5333,153.1,Coolum Beach Resort
208,Souillac,MU,80.37,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
210,Cayenne,GF,75.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
213,Perth,AU,75.67,clear sky,-31.9333,115.8333,Beatty Lodge
214,Faaa,PF,89.56,few clouds,-17.55,-149.6,Tahiti Nui Hotel
225,Natagaima,CO,78.46,clear sky,3.6206,-75.0941,Mi Hotel El Gran Palacio- Nury
226,Luwuk,ID,81.9,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
227,Auki,SB,83.1,light rain,-8.7676,160.7034,Auki Motel
233,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
235,Panique,PH,78.06,overcast clouds,12.4797,122.0153,Panique Cove Resort
250,Kavieng,PG,81.37,light rain,-2.5744,150.7967,Nusa Island Retreat
252,Lazaro Cardenas,MX,77.07,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
266,Bintulu,MY,81.01,few clouds,3.1667,113.0333,900 Boutique INN
270,Tamandare,BR,79.11,few clouds,-8.7597,-35.1047,Pousada 100 Passos
276,Vanimo,PG,83.71,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
277,East London,ZA,76.57,overcast clouds,-33.0153,27.9116,Tu Casa
293,Manggar,ID,81.37,few clouds,-2.8833,108.2667,Guest Hotel
296,Poso,ID,83.16,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
299,Meulaboh,ID,76.35,broken clouds,4.1363,96.1285,Kost Pria
306,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
317,Ranong,TH,80.53,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
318,Itarema,BR,79.3,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
319,Amahai,ID,85.3,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
323,Belmonte,BR,79.3,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
326,Harper,LR,78.51,overcast clouds,4.375,-7.7169,Screensaver
331,Salinopolis,BR,79.21,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
334,Geraldton,AU,93.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
336,Sorong,ID,80.55,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
337,Kupang,ID,82.35,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
345,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
352,Alugan,PH,80.38,clear sky,12.2188,125.4808,JM Lodge
358,Cockburn Town,TC,76.14,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
364,Kieta,PG,84.78,light rain,-6.2167,155.6333,Uruna Bay Retreat
377,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
378,Pochutla,MX,78.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
379,Beaufort,MY,84.36,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
386,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
391,Yenagoa,NG,76.3,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
394,Port Hedland,AU,86.05,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
395,Pilar,BR,76.93,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
397,Caravelas,BR,76.53,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
402,Cocobeach,GA,79.68,overcast clouds,1.0002,9.5823,Hotel Esperance
414,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
421,Mareeba,AU,89.47,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
431,Nauta,PE,77.2,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
432,Nabire,ID,84.31,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
433,Samarai,PG,81.63,overcast clouds,-10.6167,150.6667,Nuli Sapi
437,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
440,Nicoya,CR,78.35,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
442,La Orilla,MX,76.64,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
450,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
456,Ahipara,NZ,76.17,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
457,Port-Gentil,GA,80.91,moderate rain,-0.7193,8.7815,Fengshui Residence
472,Namatanai,PG,82.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
474,San Policarpo,PH,80.64,clear sky,12.1791,125.5072,Agapita M. Nicart
482,Ballitoville,ZA,77.16,broken clouds,-29.539,31.2144,Hampshire Hotel-Ballito
483,Banda Aceh,ID,78.64,clear sky,5.5577,95.3222,Sulthan Hotel International
484,Yeppoon,AU,92.98,broken clouds,-23.1333,150.7333,Villa Mar Colina
489,San Lorenzo,PY,82.87,clear sky,-25.3333,-57.5333,Hotel del Sur
496,Tautira,PF,89.62,few clouds,-17.7333,-149.15,Pension Oaoa
497,Maningrida,AU,84.43,light rain,-12.0667,134.2667,Dhukurrdji Lodge
498,Road Town,VG,77.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
502,Atambua,ID,79.5,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
506,Barreirinha,BR,75.81,scattered clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
509,Bakel,SN,78.8,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
515,Brokopondo,SR,76.24,overcast clouds,4.75,-55.1667,Matu Island
524,Catuday,PH,77.47,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
525,Larap,PH,76.01,overcast clouds,14.299,122.6504,Montemayor Cove
527,Inirida,CO,79.48,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
531,Panama City,PA,79.38,few clouds,8.9936,-79.5197,Riande Urban Hotel
537,Contamana,PE,77.95,few clouds,-7.3333,-75.0167,Shiringal Touristic Park
539,Imbituba,BR,77.83,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
543,Porto Velho,BR,75.25,broken clouds,-8.7619,-63.9039,Hotel Central
545,Manokwari,ID,81.48,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
554,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
561,Rawson,AR,76.68,clear sky,-43.3002,-65.1023,Hosteria Sampedro
566,San Rafael,AR,84.34,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
567,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
576,Ewo,CG,78.94,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
579,Utinga,BR,79.2,few clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
583,Kuah,MY,82.38,few clouds,6.3265,99.8432,Azio Hotel
585,Lorengau,PG,78.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
587,Morondava,MG,79.56,few clouds,-20.2833,44.2833,La Case Bambou
595,Progreso,MX,78.91,broken clouds,21.2833,-89.6667,Playa Linda Hotel
597,Garissa,KE,76.73,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
599,Mayumba,GA,77.72,moderate rain,-3.432,10.6554,LIKWALE LODGE
600,Pangkalanbuun,ID,82.47,light rain,-2.6833,111.6167,Grand Kecubung Hotel
602,Buchanan,LR,78.08,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
606,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
609,Tay Ninh,VN,81.82,broken clouds,11.3,106.1,Thanh Tuyền Hotel
610,Bowen,AU,89.82,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
612,Vila Velha,BR,75.15,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
616,Ruteng,ID,75.16,few clouds,-8.6136,120.4721,Hotel FX 72
624,Tarakan,ID,83.7,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
626,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
640,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
646,Poum,NC,80.73,broken clouds,-20.2333,164.0167,Gîte kajeon
647,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
648,Qui Nhon,VN,75.61,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
650,Kismayo,SO,78.24,overcast clouds,-0.3582,42.5454,Agan-Hotel
651,Makasar,ID,80.65,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
654,Paracuru,BR,82.42,few clouds,-3.41,-39.0306,Hotel Vento Brasil
657,Namuac,PH,76.93,few clouds,18.6109,121.1657,Mlin Hotel
658,Sabang,ID,80.96,few clouds,5.8933,95.3214,Hotel Citra
